,username,text,is_quote_status,quote_count,reply_count,favorite_count,view_count,retweet_count,has_card,thumbnail_title,urls,hashtags,ticker,day,month,year,is_in_reply_to,is_view_count,1_day_after,3_day_after,7_day_after
12,unusual_whales,"Here are the hottest bearish and bullish option chains right now in the market.

$GOOGL 
$SNOW
$DDOG
$MARA
$NVDA
$BABA
$DJT
$HOOD
$GME

Link: https://t.co/bzo7DltDVW https://t.co/kQtl30tj1y",0,0,29,87,65074.0,9,0,,1,,NVDA,14,10,2024,0,1,0,1,1
13,unusual_whales,"Here are the hottest bearish and bullish option chains right now in the market.

$GOOGL 
$SNOW
$DDOG
$MARA
$NVDA
$BABA
$DJT
$HOOD
$GME

Link: https://t.co/bzo7DltDVW https://t.co/kQtl30tj1y",0,0,29,87,65074.0,9,0,,1,,GOOGL,14,10,2024,0,1,1,0,1
14,unusual_whales,"JUST IN: Nancy Pelosi's portfolio has hit a new all time high.

Pelosi has made millions this year alone.

She has made likely $3 million alone today off $NVDA $AVGO and $PANW options and many stock positions.

You can invest alongside her on Unusual Whales. https://t.co/hQjEtVuqCP",0,31,103,1360,284533.0,192,0,,0,,NVDA,11,10,2024,0,1,1,1,1
15,unusual_whales,"JUST IN: Nancy Pelosi's portfolio has hit a new all time high.

Pelosi has made millions this year alone.

She has made likely $3 million alone today off $NVDA $AVGO and $PANW options and many stock positions.

You can invest alongside her on Unusual Whales. https://t.co/hQjEtVuqCP",0,31,103,1360,284533.0,192,0,,0,,PANW,11,10,2024,0,1,1,1,1
16,unusual_whales,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh",0,2,25,127,78681.0,23,0,,1,,NVDA,7,10,2024,0,1,1,1,1
17,unusual_whales,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh",0,2,25,127,78681.0,23,0,,1,,AMZN,7,10,2024,0,1,0,1,1
18,unusual_whales,"At close: $NVDA $AMZN $TSLA $SMCI

If you want to generate charts like this in your discord, alongside get alerts and financial data, go to https://t.co/lIDpnCxZai https://t.co/YK4ceNGNeh",0,2,25,127,78681.0,23,0,,1,,TSLA,7,10,2024,0,1,0,0,0
19,unusual_whales,"Tesla, $TSLA unveils ""Robovan"" https://t.co/2WipLfdtIE",0,1263,1532,16881,4559190.0,1751,0,,0,,TSLA,11,10,2024,0,1,0,0,1
20,unusual_whales,"There's a lot of new 52 week ALL TIME HIGHS today.

$TSM
$MA
$VTI
$MCD
$IBM
$LOW
$GS
$WFC
$TMUS

Generate images like this or get data like this using our Discord bot or from our public API! https://t.co/aQPgAzx7sd",0,1,35,85,73919.0,18,0,,0,,MCD,14,10,2024,0,1,1,1,1
21,unusual_whales,"There's a lot of new 52 week ALL TIME HIGHS today.

$TSM
$MA
$VTI
$MCD
$IBM
$LOW
$GS
$WFC
$TMUS

Generate images like this or get data like this using our Discord bot or from our public API! https://t.co/aQPgAzx7sd",0,1,35,85,73919.0,18,0,,0,,IBM,14,10,2024,0,1,0,0,0
22,unusual_whales,Call your Tesla $TSLA robotaxi https://t.co/9qBll4iXzF,0,3,43,668,120242.0,39,0,,0,,TSLA,10,10,2024,0,1,0,0,0
23,unusual_whales,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ",0,114,163,4291,451298.0,429,0,,0,,GOOG,14,10,2024,0,1,1,0,1
24,unusual_whales,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ",0,114,163,4291,451298.0,429,0,,0,,GOOG,14,10,2024,0,1,1,0,1
25,unusual_whales,"Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help with energy needed for AI, per WSJ",0,114,163,4291,451298.0,429,0,,0,,GOOGL,14,10,2024,0,1,1,0,1
26,unusual_whales,"All these stocks hit new 52 week highs today (you can generate these charts on Unusual Whales or using our discord bot):

$PLTR
$HOOD
$ORCL
$IBM
$TTD
$EBAY
$UAL
$PYPL

Did you own any of them? https://t.co/GdkkLHeyMI",0,1,33,125,83940.0,23,0,,0,,IBM,8,10,2024,0,1,1,1,1
27,unusual_whales,"All these stocks hit new 52 week highs today (you can generate these charts on Unusual Whales or using our discord bot):

$PLTR
$HOOD
$ORCL
$IBM
$TTD
$EBAY
$UAL
$PYPL

Did you own any of them? https://t.co/GdkkLHeyMI",0,1,33,125,83940.0,23,0,,0,,PYPL,8,10,2024,0,1,1,1,0
28,unusual_whales,"Tesla, $TSLA first image of their supposed CyberCab https://t.co/lNa0TxmDZC",0,9,97,1039,139128.0,55,0,,0,,TSLA,11,10,2024,0,1,0,0,1
29,unusual_whales,"Pichai also mentioned that Google is exploring additional clean energy investments, including solar power.

Link: https://t.co/jrvaIL7g5U",0,2,12,61,73103.0,6,1,Google $GOOGL $GOOG is funding the construction of 7 small nuclear power reactors in the US to help...,1,,GOOG,14,10,2024,1,1,1,0,1
30,unusual_whales,"$NVDA $YINN $CRWD all leading net premiums on Unusual Whales market tide today right now.

Slight drop in options premiums across the board headed into close. https://t.co/yFJ5zLq04P",0,0,33,98,75106.0,12,0,,0,,NVDA,10,10,2024,0,1,1,1,1
31,unusual_whales,"$NVDA $YINN $CRWD all leading net premiums on Unusual Whales market tide today right now.

Slight drop in options premiums across the board headed into close. https://t.co/yFJ5zLq04P",0,0,33,98,75106.0,12,0,,0,,CRWD,10,10,2024,0,1,1,1,1
32,MicroFundy,"Since last week Tuesday...

S&amp;P 500 -3.2%
$GOOGL -18.75%
$AMZN - 25.7%",0,1,1,4,0.0,1,0,,0,,AMZN,3,11,2022,0,0,0,0,1
33,MicroFundy,"Since last week Tuesday...

S&amp;P 500 -3.2%
$GOOGL -18.75%
$AMZN - 25.7%",0,1,1,4,0.0,1,0,,0,,GOOGL,3,11,2022,0,0,1,1,1
34,MicroFundy,@CapitalObserver On this front... how close do the ADP numbers typically match up with BLS's?,0,0,1,0,263.0,0,0,,0,,ADP,1,2,2023,1,1,1,0,0
35,Forbes,Google Photos To Help Users Identify AI-Created Images https://t.co/cV93AoTuPF,0,0,5,13,23061.0,9,1,Google Photos To Help Users Identify AI-Created Images,1,,GOOG,11,10,2024,0,1,1,1,1
36,FT,Google orders small modular nuclear reactors for its data centres https://t.co/c27d8UcRah,0,152,52,1236,367421.0,462,1,Google orders small modular nuclear reactors for its data centres,1,,GOOG,14,10,2024,0,1,1,0,1
37,FT,Former Pfizer executives pull out of activist investor Starboard’s campaign https://t.co/OL4yGcd0AR,0,4,1,18,28408.0,9,1,Former Pfizer executives pull out of activist investor Starboard’s campaign,1,,PFE,10,10,2024,0,1,0,0,0
38,DumbLuckCapital,“OpenAI CFO Sarah Friar says the company will use the financing to acquire more computing power” $NVDA https://t.co/w7bdoUmciq,0,0,0,3,740.0,0,0,,0,,NVDA,30,8,2024,0,1,0,0,0
39,BergenCapital,“We update our outlook for commercial aircraft deliveries. We believe we are finally heading to the inflection point for global travel.” Bernstein $BA $SPR,0,0,0,1,0.0,0,0,,0,,BA,29,9,2021,0,0,0,0,0
40,probesreporter,"Nvidia:  Remember the old days when we repeatedly warned about a confirmed, undisclosed SEC investigation at $NVDA and no one cared? https://t.co/n97joGOESs",0,0,0,7,0.0,3,0,,0,,NVDA,25,5,2022,0,0,1,1,1
41,probesreporter,"@davidgura The SEC knows much more about Twitter's user data than he does. If he bothered to look, he'd know too.  We have the receipts.  $TWTR $TSLA",0,0,2,6,0.0,2,0,,0,,TSLA,4,6,2022,1,0,0,0,0
42,davidein,Trying again...larger 😀.  part 1/3 $TSLA #ElonMusk https://t.co/0O94BFJTlz,0,6,20,232,0.0,45,0,,0,ElonMusk,TSLA,13,5,2020,0,0,0,0,0
43,davidein,"Trying again larger.  3/3 $TSLA #ElonMusk 

Nobody expresses it better than Joan McCullough https://t.co/CeTUdlCbYC",0,4,77,141,0.0,27,0,,0,ElonMusk,TSLA,13,5,2020,0,0,0,0,0
44,davidein,Nobody expresses it better than Joan McCullough.  $TSLA @elonmusk https://t.co/cprfZCglTZ,0,12,40,228,0.0,36,0,,0,,TSLA,13,5,2020,0,0,0,0,0
45,davidein,Trying again larger 😀 Part 2/3 $TSLA #ElonMusk https://t.co/Y8eEkctCca,0,5,24,175,0.0,25,0,,0,ElonMusk,TSLA,13,5,2020,0,0,0,0,0
46,davidein,"If @Tesla wants to save the human species, it should pay more attention to the
safety of its own customers. You shouldn’t have to be Walmart to have your
dangerous solar panels fixed. @Elonmusk",0,23,105,391,0.0,67,0,,0,,TSLA,23,8,2019,0,0,0,0,1
47,CNBC,"Google said Monday that it will purchase power from small modular reactor developer Kairos Power, as tech companies increasingly turn to nuclear power as a way to fulfill the growing energy demands from data centers.

Read more about the deal: https://t.co/Z4FtYTQYv3 https://t.co/LrLFPldiBP",0,17,7,184,48399.0,62,0,,1,,GOOG,14,10,2024,0,1,1,0,1
48,CNBC,Google inks deal with nuclear company as data center power demand surges https://t.co/vcEXk3CZhV,0,7,6,165,35218.0,70,1,Google inks deal with nuclear company as data center power demand surges,1,,GOOG,14,10,2024,0,1,1,0,1
49,CNBC,LISTEN NOW: The Justice Department may be looking to break up Google after the ruling on its monopoly. Listen and follow the @CNBCFastMoney podcast here: https://t.co/2KdGymyRed https://t.co/WKdWIzr6gW,0,1,2,8,19355.0,6,0,,1,,GOOG,9,10,2024,0,1,0,1,1
50,CNBC,Nvidia heads for record close as AI chipmaker's market cap tops $3.4 trillion https://t.co/0wKWv2Fs16,0,6,19,181,31126.0,46,1,Nvidia heads for record close as AI chipmaker's market cap tops $3.4 trillion,1,,NVDA,14,10,2024,0,1,0,1,1
51,CNBC,"The U.S. government is approaching year five of its sprawling investigation into the country's biggest tech companies.

Google is the first U.S. tech giant to land in federal court fighting antitrust concerns in decades.

Read more: https://t.co/VnuWGqnchC https://t.co/MVxvw3xNX0",0,1,7,7,17079.0,3,0,,1,,GOOG,10,10,2024,0,1,1,1,1
52,CNBC,LISTEN NOW: Scott Wapner and the Investment Committee debate the state of the tech trade as Nvidia crosses back into a $3 trillion market cap while other top tech names get downgrades. Listen and follow the @HalftimeReport podcast here: https://t.co/I1PNHn6kQl https://t.co/VfhQuoiH7E,0,0,1,4,16004.0,1,0,,1,,NVDA,8,10,2024,0,1,1,1,1
53,CNBC,"AMD CEO Lisa Su discusses the company launching a new AI chip on Thursday that is taking direct aim at Nvidia’s data center graphics processors, known as GPUs.

Read more: https://t.co/OEcdhWfDFD https://t.co/oYd44mlKlh",0,4,10,83,24727.0,19,0,,1,,AMD,10,10,2024,0,1,0,0,0
54,CNBC,Nvidia closes at record as AI chipmaker's market cap tops $3.4 trillion https://t.co/281LNt013g,0,2,6,99,34093.0,42,1,Nvidia closes at record as AI chipmaker's market cap tops $3.4 trillion,1,,NVDA,14,10,2024,0,1,0,1,1
55,CNBC,"LISTEN NOW: Concerns are growing over Big Tech firms and lofty expectations for earnings, and Apple and Amazon are bouncing back today after analyst downgrades yesterday. Listen and follow the @PowerLunch podcast here: https://t.co/WV081BM7DG https://t.co/Cj8DZxNLun",0,0,2,8,17850.0,0,0,,1,,AAPL,8,10,2024,0,1,1,1,1
56,WSJ,Four Taiwanese employees at Chinese facilities that make products for Apple have been detained by local authorities https://t.co/ujhEuBJ0EE https://t.co/ujhEuBJ0EE,0,1,3,18,56477.0,10,1,China Detains Employees at Apple iPhone Factory Run by Foxconn,1,,AAPL,10,10,2024,0,1,0,1,1
57,WSJ,"WSJ's @JeffHorwitz and @KatherineBlunt won a Gerald Loeb Award for their reports into how Instagram and Facebook connected networks of pedophiles, and how Meta not only failed to stop this but added to the risks.

Read their investigation: https://t.co/EcAK310Vsr",0,2,12,26,45313.0,14,1,The Dark Side of Meta’s Algorithms,1,,META,11,10,2024,0,1,1,1,0
58,WSJ,Google plans to buy power generated by seven small nuclear reactors to be built by startup Kairos Power https://t.co/YgEmmpcOEa,0,4,9,54,53223.0,14,1,Google Backs New Nuclear Plants to Power AI,1,,GOOG,14,10,2024,0,1,1,0,1
59,OnlyCFO,6. Financial modeling on a Mac in Google Sheets https://t.co/86GlDHvoUx,0,0,2,32,3113.0,2,0,,0,,GOOG,6,10,2024,0,1,0,0,0
60,OnlyCFO,"@jack__smitham But those FCF decisions should be done in google sheets , right?",0,0,2,0,100.0,0,0,,0,,GOOG,1,10,2024,1,1,0,0,0
61,firstadopter,Nvidia says Blackwell is sold out for 12 months https://t.co/qD3WJBpcEx,0,15,16,322,61372.0,46,0,,0,,NVDA,10,10,2024,0,1,1,1,1
62,firstadopter,"Both Intel and AMD now view Nvidia GB200 NVL72 as their main competition, with its Grace ARM CPU, Blackwell GPU, and NVLink. The GB200 NVL72 is poised to capture ENORMOUS share in the data center market from Intel and AMD next year. https://t.co/mt7pWgS2lo",0,2,4,57,6438.0,5,0,,0,,NVDA,15,10,2024,0,1,0,1,1
63,firstadopter,"Both Intel and AMD now view Nvidia GB200 NVL72 as their main competition, with its Grace ARM CPU, Blackwell GPU, and NVLink. The GB200 NVL72 is poised to capture ENORMOUS share in the data center market from Intel and AMD next year. https://t.co/mt7pWgS2lo",0,2,4,57,6438.0,5,0,,0,,AMD,15,10,2024,0,1,0,0,0
64,firstadopter,"If AMD CEO is correct about her long term market size prediction for AI GPUs, it would nearly double Street consensus for Nvidia if share stays the same https://t.co/4HFNkywTuf",0,4,10,233,37428.0,26,0,,0,,NVDA,10,10,2024,0,1,1,1,1
65,firstadopter,"If AMD CEO is correct about her long term market size prediction for AI GPUs, it would nearly double Street consensus for Nvidia if share stays the same https://t.co/4HFNkywTuf",0,4,10,233,37428.0,26,0,,0,,AMD,10,10,2024,0,1,0,0,0
66,firstadopter,"Hon Hai on Nvidia GPU demand: “demand for the next-generation Blackwell chips was “crazy”

“There was a lot of talk that the need for compute may be saturated pretty soon. But it looks like the demand is still growing. So that’s beyond our expectations,” Liu said.” https://t.co/qH5itrqkPi",0,2,0,36,5251.0,7,0,,0,,NVDA,8,10,2024,0,1,1,1,1
67,firstadopter,@Devon_Eriksen_ A LOT of similar themes in my book on Nvidia,1,0,0,2,250.0,0,0,,0,,NVDA,14,10,2024,1,1,0,1,1
68,firstadopter,"It's super exciting to see three scientists win Nobel Prizes and receive recognition for their work in AI and digital biology.

I made digital biology THE key focus in my book on Nvidia as the most promising area for AI to benefit humanity in the future.",1,0,0,15,4068.0,1,0,,0,,NVDA,9,10,2024,0,1,1,1,1
69,firstadopter,@BenBajarin @nvidia FWIW he’s said that for many years,0,0,1,3,308.0,0,0,,0,,NVDA,14,10,2024,1,1,0,1,1
70,firstadopter,Goldman out with a note confirming Nvidia says Blackwell order lead times are 12 months (what Morgan Stanley said yesterday),0,1,1,6,2456.0,4,0,,0,,NVDA,11,10,2024,1,1,1,1,1
71,firstadopter,"When Lisa Su took over, AMD was nearly bankrupt. The chipmaker is now worth $280 billion - an incredible run and one of the all-time great business turnaround stories.",1,3,7,351,37273.0,30,0,,0,,AMD,8,10,2024,0,1,0,0,0
72,firstadopter,"In the past 24 hours, three current or former Google employees - Demis Hassabis, John Jumper, and Geoffrey Hinton - have won Nobel Prizes for advancing science and pushing humanity forward.

DOJ: Break it up.",0,16,53,1169,80017.0,61,0,,0,,GOOG,9,10,2024,0,1,0,1,1
73,firstadopter,Another major Nvidia Blackwell GPU customer reference today,1,0,1,31,3708.0,3,0,,0,,NVDA,8,10,2024,0,1,1,1,1
74,firstadopter,"I interviewed dozens of executives for my Nvidia book. To my knowledge, not one had a McKinsey + MBA background. There’s something to that.",1,3,12,185,32437.0,12,0,,0,,NVDA,11,10,2024,0,1,1,1,1
75,firstadopter,"Nvidia nearly went bankrupt four times, so Jensen is a turnaround champion too",0,0,1,20,2240.0,0,0,,0,,NVDA,8,10,2024,0,1,1,1,1
76,firstadopter,AlphaFold2 was trained on 128 Google TPUs. Inference for the model is done on Nvidia GPUs,1,0,2,18,3968.0,0,0,,0,,NVDA,10,10,2024,0,1,1,1,1
77,firstadopter,AlphaFold2 was trained on 128 Google TPUs. Inference for the model is done on Nvidia GPUs,1,0,2,18,3968.0,0,0,,0,,GOOG,10,10,2024,0,1,1,1,1
78,firstadopter,"The definitive history of the GeForce 256 and how the term GPU was coined can be found in my book, ""THE NVIDIA WAY,"" releasing on December 10th.",1,0,2,21,4260.0,1,0,,0,,NVDA,11,10,2024,0,1,1,1,1
79,LongShortTrader,Tax free selling of $TSLA stock !,1,0,1,13,2568.0,2,0,,0,,TSLA,5,9,2024,0,1,0,0,1
80,xuexishenghuo,anyone at JPM next year?,0,0,1,1,0.0,0,0,,0,,JPM,17,12,2021,0,0,0,0,0
81,ActAccordingly,Not getting the focus of $INTC or #Sahm but infrastructure construction darling $TPC getting demolished today.  Lots of time on the call spent explaining the reasons for higher stock comp which is quaint. Backlog growth was underwhelming and the stock now finds itself back to the,0,0,0,4,2080.0,0,0,,0,Sahm,INTC,2,8,2024,0,1,0,0,0
82,ActAccordingly,"@PrairieFlood Fair point, I was thinking in the context of companies that were public 10-years ago or longer.  $CMG fits that category for certain. $CAVA and $WING have been monsters, even $KRUS, but it's been a rough road from a stock perspective for the older generation. Full disclosure I",0,0,0,2,404.0,0,0,,0,,CMG,17,7,2024,1,1,0,0,0
83,FatTailCapital,"Apple UPS tracking info name is ""AI"" we are so early✨ https://t.co/WM0NoALObq",0,0,0,2,1526.0,0,0,,0,,AAPL,20,9,2024,0,1,0,0,0
84,FatTailCapital,"$MSFT 8-K changing disclosures/re-segmenting, the biggest change is moving EMS out of Azure and other into Office365, which raises the growth rates of BOTH Azure to 35% from 30% AND O365 to 16% from 14% (renamed Microsoft365). https://t.co/gWPvqIa0h8",0,2,10,205,26981.0,19,0,,0,,MSFT,21,8,2024,0,1,0,0,0
85,FatTailCapital,$PANW mgmt moving the goalposts again @nikesharora https://t.co/msqY7ScISL,0,0,1,11,2878.0,1,0,,0,,PANW,19,8,2024,0,1,1,1,1
86,LibertyRPF,Revenue for TSMC and Nvidia since 2014: $NVDA $TSM https://t.co/OH6VbSW7vy,0,0,0,9,1302.0,0,0,,0,,NVDA,16,10,2024,0,1,1,1,1
87,LibertyRPF,Revenue for TSMC and Nvidia since 2014: $NVDA $TSM https://t.co/OH6VbSW7vy,0,0,0,9,1302.0,0,0,,0,,NVDA,16,10,2024,0,1,1,1,1
88,LibertyRPF,"Today's FREE Edition is out, full of goodies for you:

529: Anthropic CEO on AI Future, SpaceX Chopsticks, Tesla's Robotaxis &amp; Optimus, Satya Nadella's Secret, Google Goes Nuclear, and Victorian VR

https://t.co/aKv5Auc3Pr",0,0,0,3,1101.0,0,1,"529: Anthropic CEO on AI Future, SpaceX Chopsticks, Tesla's Robotaxis & Optimus, Satya Nadella's...",1,,GOOG,16,10,2024,0,1,0,0,0
89,LibertyRPF,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR",0,1,0,9,11472.0,2,1,"527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into...",1,,META,9,10,2024,0,1,0,0,0
90,LibertyRPF,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR",0,1,0,9,11472.0,2,1,"527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into...",1,,NVDA,9,10,2024,0,1,1,1,1
91,LibertyRPF,"I'm back! Today's FREE edition covers a lot:

527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into $415m and Loses It All, Curing Diabetes, Microsoft, Samsung, Semiconductors, and Leonard Cohen $META $NVDA

https://t.co/BUMbInbuJR",0,1,0,9,11472.0,2,1,"527: Zuck Trying to Osborne Apple, Orion AR, Should Nvidia Buy Perplexity?, Trader Turns $88k Into...",1,,NVDA,9,10,2024,0,1,1,1,1
92,TheStalwart,New 52-week low for Boeing $BA https://t.co/AQVbC1q9V5,0,3,9,30,20753.0,2,0,,0,,BA,14,10,2024,0,1,1,1,1
93,sprucepointcap,"Crickets from the 24+ analysts covering $FND. Homebuilder $LEN #Lennar d/g over at Citi/RayJay on housing concerns. RayJay specifically calling out ""outsized exposure"" to #Florida. Probably nothing that $FND also has material Florida exposure, ~14% of the store base. https://t.co/uguG4brY48",0,0,0,3,2854.0,0,0,,0,Lennar Florida,LEN,2,7,2024,0,1,1,1,1
94,pmarca,True confession: The script was written not by me but by Google Gemini. 😆 https://t.co/Z8LW5UIBAX,1,4,10,63,108836.0,6,0,,0,,GOOG,11,10,2024,0,1,1,1,1
95,business,Meta must face a lawsuit by dozens of state attorneys general alleging it knowingly contributed to a youth mental health crisis by getting kids hooked on social media. https://t.co/tzzvQIj1fw,0,0,4,18,21475.0,7,1,Meta Must Face Some Claims by State AGs in Addiction Lawsuit,1,,META,15,10,2024,0,1,0,0,0
96,business,"Apple worked with Chinese automaker BYD for years as part of its now-canceled car project, developing long-range batteries that helped lay the groundwork for technology used today, according to people familiar with the situation. https://t.co/pmh8fgQ1Fw",0,5,4,24,23866.0,7,1,Apple Secretly Worked With China’s BYD on Long-Range EV Battery,1,,AAPL,16,10,2024,0,1,1,1,0
97,business,Google Says Nuclear Is Key to Around-the-Clock Clean Power https://t.co/lNQYYhXHR5,0,1,9,51,23447.0,15,1,Google Says Nuclear Is Key to Around-the-Clock Clean Power,1,,GOOG,16,10,2024,0,1,0,0,0
98,business,Google is endorsing a bill that would require people filing lawsuits to disclose who will be paying for – and profiting from – the litigation. https://t.co/BWvAwISNn5,0,0,5,19,19633.0,3,1,Google Endorses Bill to Reveal Funders Backing Lawsuits,1,,GOOG,15,10,2024,0,1,0,0,0
99,business,"If you think there are too many podcasters out there, Google may have the solution, writes @parmy https://t.co/Z48nOkdnTb via @opinion",0,1,1,4,13220.0,0,1,Google’s AI Podcast Tool Is Dazzling. But Is It Useful?,1,,GOOG,17,10,2024,0,1,0,0,0
100,John_Hempton,"Thinking aloud about Google remedies - 

$GOOG, $GOOGL

https://t.co/z0TxIvERPi",0,1,4,18,10002.0,2,0,,1,,GOOG,10,10,2024,0,1,1,1,1
101,John_Hempton,"Thinking aloud about Google remedies - 

$GOOG, $GOOGL

https://t.co/z0TxIvERPi",0,1,4,18,10002.0,2,0,,1,,GOOGL,10,10,2024,0,1,1,1,1
102,zerohedge,"""Superhuman"": Nvidia CEO Blown Away After Musk Sets Up 100,000 GPUs In 19 Days https://t.co/CgY93ceElz",0,5,28,409,70828.0,63,1,"""Superhuman"": Nvidia CEO Blown Away After Musk Sets Up 100,000 GPUs In 19 Days",1,,NVDA,16,10,2024,0,1,1,1,1
103,fundiescapital,"If CarCo is some day serious about a network of cars for ride service, wouldn’t it be wise to buy the second biggest ride share network to have immediate demand-side liquidity?

It’s a drop in the bucket for them.

Now I know autonomy is all pretend TSLA stock pumping, but…",0,0,0,4,969.0,0,0,,0,,TSLA,11,10,2024,0,1,0,0,1
104,mattturck,"The geopolitics of open source AI, the rise of small models, why NLP is boring and trashing the lean startup handbook

New pod @ClementDelangue, CEO @huggingface 🎙️🤗

* YouTube: https://t.co/lqyMqUB6bL
* Spotify: https://t.co/ireJSS6WoJ
* Apple Podcasts: https://t.co/j8iJ9z7ObL https://t.co/MENckdHCLm",0,0,0,11,767.0,1,0,,1,,AAPL,17,10,2024,0,1,1,1,0
105,mattturck,"Cool for NYC AI  - new big OpenAI office 

Cohere opened one recently 

In addition to many other existing AI co offices Meta FAIR, DeepMind, Palantir, HuggingFace, Dataiku, etc 

(and yes, Kushner/Thrive building) https://t.co/bjlTRWkomb",0,19,38,1146,180619.0,46,0,,0,,META,5,10,2024,0,1,1,1,1
